Date,Season,HomeTeam,AwayTeam,Result,home_form_points,home_form_gf,home_form_ga,home_form_gd,away_form_points,away_form_gf,away_form_ga,away_form_gd,form_points_diff,form_gd_diff,home_trend,away_trend,trend_diff,home_home_ppg,home_home_gf,home_home_ga,away_away_ppg,away_away_gf,away_away_ga,home_advantage,home_days_rest,away_days_rest,rest_diff,home_season_points,home_season_gd,home_season_position,away_season_points,away_season_gd,away_season_position,position_diff,points_diff_season,h2h_home_wins,h2h_draws,h2h_away_wins,season_phase,home_goal_variance,away_goal_variance,home_streak,away_streak,streak_diff,home_home_streak,away_away_streak
2024-09-22,2425,Leverkusen,Wolfsburg,H,9,15,10,5,6,8,7,1,3,4,0.0,0.0,0.0,1.4,2.6,1.8,1.8,1.2,1.2,-0.40000000000000013,8,8,0,12,6,7,6,0,13,6,6,3,2,0,1,2.0703024210438135,1.6704783446427074,5,-5,10,-1,1
2024-09-22,2425,Leverkusen,Wolfsburg,H,9,15,10,5,6,8,7,1,3,4,0.0,0.0,0.0,1.4,2.6,1.8,1.8,1.2,1.2,-0.40000000000000013,8,8,0,12,6,7,6,0,13,6,6,3,2,0,1,2.0703024210438135,1.6704783446427074,5,-5,10,-1,1
2024-09-22,2425,Stuttgart,Dortmund,H,8,13,11,2,11,10,4,6,-3,-4,2.0,0.0,2.0,2.2,3.2,1.4,1.0,0.6,1.6,1.2000000000000002,8,9,-1,8,0,11,14,8,5,-6,-6,2,1,2,1,1.6014336545204269,2.209407723883723,2,2,0,0,0
2024-09-22,2425,St Pauli,RB Leipzig,D,0,2,10,-8,11,7,4,3,-11,-11,0.0,-1.33,1.33,0.0,0.0,2.0,2.2,2.2,1.6,-2.2,7,8,-1,0,-10,18,14,4,6,-12,-14,0,0,0,1,0.2666666666666667,2.2302158273381294,-6,0,-6,-2,2
2024-09-22,2425,Stuttgart,Dortmund,H,8,13,11,2,11,10,4,6,-3,-4,2.0,0.0,2.0,2.2,3.2,1.4,1.0,0.6,1.6,1.2000000000000002,8,9,-1,8,0,11,14,8,5,-6,-6,2,1,2,1,1.6014336545204269,2.209407723883723,2,2,0,0,0
2024-09-22,2425,St Pauli,RB Leipzig,D,0,2,10,-8,11,7,4,3,-11,-11,0.0,-1.33,1.33,0.0,0.0,2.0,2.2,2.2,1.6,-2.2,7,8,-1,0,-10,18,14,4,6,-12,-14,0,0,0,1,0.2666666666666667,2.2302158273381294,-6,0,-6,-2,2
2024-09-27,2425,Dortmund,Bochum,H,7,10,14,-4,2,6,10,-4,5,0,-0.67,0.67,-1.34,3.0,3.2,0.8,0.0,0.6,2.0,3.0,5,6,-1,14,0,8,2,-8,16,8,12,2,2,1,1,2.204602669846633,1.2447039199332781,0,0,0,5,-5
2024-09-27,2425,Dortmund,Bochum,H,7,10,14,-4,2,6,10,-4,5,0,-0.67,0.67,-1.34,3.0,3.2,0.8,0.0,0.6,2.0,3.0,5,6,-1,14,0,8,2,-8,16,8,12,2,2,1,1,2.204602669846633,1.2447039199332781,0,0,0,5,-5
2024-09-28,2425,Freiburg,St Pauli,A,12,10,4,6,2,2,7,-5,10,11,2.0,0.67,1.33,2.6,2.2,1.0,0.0,0.5,2.0,2.6,7,6,1,18,8,4,2,-10,16,12,16,0,0,0,1,1.3356260556358235,0.21428571428571427,3,0,3,4,-4
2024-09-28,2425,RB Leipzig,Augsburg,H,7,3,2,1,6,10,12,-2,1,3,-1.33,0.0,-1.33,1.8,0.6,0.2,0.0,0.6,3.6,1.8,6,8,-2,16,4,7,8,-6,12,5,8,3,2,0,1,2.241884280593958,1.2094471496240353,0,-2,2,0,-5
2024-09-28,2425,Wolfsburg,Stuttgart,D,3,10,12,-2,13,19,7,12,-10,-14,-2.0,1.33,-3.33,0.0,1.4,2.6,1.8,1.8,1.6,-1.8,6,6,0,6,-2,13,14,8,8,-5,-8,2,1,2,1,1.6741445559640926,1.6813108038914486,-7,4,-11,-5,1
2024-09-28,2425,RB Leipzig,Augsburg,H,7,3,2,1,6,10,12,-2,1,3,-1.33,0.0,-1.33,1.8,0.6,0.2,0.0,0.6,3.6,1.8,6,8,-2,16,4,7,8,-6,12,5,8,3,2,0,1,2.241884280593958,1.2094471496240353,0,-2,2,0,-5
2024-09-28,2425,Bayern Munich,Leverkusen,D,15,24,2,22,12,18,11,7,3,15,0.0,2.0,-2.0,3.0,2.0,0.2,3.0,3.8,1.2,0.0,7,6,1,24,26,1,18,8,3,2,6,1,2,2,1,3.048088707807479,2.083739110271953,10,7,3,5,5
2024-09-28,2425,Wolfsburg,Stuttgart,D,3,10,12,-2,13,19,7,12,-10,-14,-2.0,1.33,-3.33,0.0,1.4,2.6,1.8,1.8,1.6,-1.8,6,6,0,6,-2,13,14,8,8,-5,-8,2,1,2,1,1.6741445559640926,1.6813108038914486,-7,4,-11,-5,1
2024-09-28,2425,Mainz,Heidenheim,A,7,11,11,0,3,8,14,-6,4,6,1.33,-2.0,3.33,1.0,1.4,1.2,1.4,1.8,1.8,-0.3999999999999999,8,7,1,10,0,10,12,2,9,-1,-2,0,1,1,1,1.4302808970154692,1.3728222996515682,0,1,-1,-2,0
2024-09-28,2425,M'gladbach,Union Berlin,H,3,4,10,-6,11,5,2,3,-8,-9,-2.0,0.0,-2.0,0.2,1.4,2.6,0.8,0.8,1.0,-0.6000000000000001,7,7,0,6,-6,14,16,4,6,-8,-10,0,1,4,1,1.6906406306932986,1.2994667682346217,-5,2,-7,-4,0
